amount,hour_of_day,recent_transaction_count,velocity_1h,previous_chargebacks,failed_transaction_count,is_new_device,is_new_ip,distance_from_home,device_account_count,ip_account_count,avg_user_amount,is_fraud
85.07,9,0,1,0,2,0,0,12.2,2,4,19.66,0
26.08,10,2,0,0,0,0,0,10.5,1,1,34.11,0
18.66,9,1,9,1,2,1,1,335.6,5,5,23.02,1
19.44,20,3,0,0,1,0,0,45.4,1,2,31.79,0
29.67,17,2,1,0,0,0,0,7.8,1,1,11.57,0
38.65,12,2,3,0,0,0,0,57.0,3,1,4.38,0
5.64,14,2,2,0,0,0,0,11.5,1,1,11.52,0
19.56,21,2,0,0,0,0,0,16.7,1,1,51.03,0
28.58,16,3,0,0,0,0,0,39.2,1,2,27.38,0
155.72,8,0,3,0,1,0,0,5.0,1,0,17.67,0
8.9,21,0,1,0,0,0,0,34.5,0,1,14.41,0
11.96,9,1,2,0,0,0,0,11.9,3,1,50.72,0
39.23,12,0,2,0,0,0,0,1.5,1,1,15.06,0
7.22,14,3,1,0,0,0,0,28.5,2,4,7.37,0
48.1,15,1,0,0,0,0,0,1.0,3,2,15.16,0
79.28,17,1,0,0,2,0,0,23.1,3,3,11.15,0
79.06,20,3,0,0,0,0,0,20.3,0,1,12.43,0
25.76,17,3,3,0,1,0,0,77.9,1,1,20.68,0
16.01,17,0,1,0,0,0,0,19.5,0,0,15.51,0
131.45,10,4,0,0,0,0,0,35.0,1,0,95.0,0
8.01,12,2,1,0,1,0,0,9.0,2,0,63.86,0
48.82,12,1,0,0,0,0,0,12.6,0,3,69.48,0
53.75,10,0,1,0,0,0,0,13.2,0,1,47.65,0
19.48,12,2,0,0,0,0,0,0.2,1,3,16.12,0
33.01,19,4,3,0,1,0,0,78.3,2,0,24.23,0
7.05,14,1,1,0,0,0,0,1.4,1,1,7.25,0
7.87,10,4,0,0,0,0,0,13.5,1,1,71.83,0
7.22,18,1,1,0,0,0,0,71.7,3,0,32.63,0
52.7,13,1,2,0,0,0,1,44.2,2,0,24.97,0
20.39,18,0,1,0,2,0,1,116.4,0,4,2.11,0
4.66,16,3,2,0,1,0,0,12.5,0,1,18.54,0
17.79,12,2,1,0,2,0,0,43.8,2,4,10.62,0
38.36,17,0,0,0,1,0,0,87.0,4,1,35.99,0
2.79,9,2,1,0,0,0,0,22.8,2,1,200.65,0
22.15,16,0,2,0,0,0,0,58.0,4,3,27.86,0
30.36,19,2,0,0,0,0,0,28.1,2,2,97.5,0
6.77,10,1,1,0,0,0,0,67.8,2,0,19.09,0
41.32,21,2,0,0,0,0,0,74.8,0,1,15.39,0
30.22,9,3,0,0,0,0,0,12.5,2,2,127.71,0
39.16,15,0,1,0,0,0,0,86.7,2,3,12.18,0
68.3,15,4,2,0,0,0,0,28.5,2,2,74.32,0
78.84,20,8,4,0,0,0,0,249.7,5,4,29.68,0
6.58,16,3,0,0,0,0,0,13.1,1,3,204.64,0
12.69,15,2,0,0,0,0,0,34.9,0,2,34.5,0
102.72,10,3,1,0,1,0,0,10.2,2,1,10.01,0
23.02,16,0,0,0,1,0,0,77.1,2,1,45.7,0
75.09,12,1,2,0,0,0,0,76.1,3,2,15.2,0
23.27,20,0,1,0,0,0,0,6.5,2,0,8.83,0
5.58,20,2,2,0,1,0,0,10.6,1,2,22.78,0
13.98,13,3,2,0,0,0,0,15.7,1,1,18.07,0
18.63,10,1,1,0,0,0,0,1.1,0,2,10.61,0
20.92,16,2,2,0,0,0,0,180.1,1,2,29.61,0
14.08,9,2,0,0,0,0,0,21.8,1,1,39.95,0
13.28,11,3,0,0,0,0,0,2.0,2,5,44.79,0
54.51,19,3,1,0,0,0,0,8.7,2,3,36.44,0
10.65,13,4,2,0,0,0,1,0.4,0,1,8.11,0
1188.19,2,3,3,0,0,0,0,320.7,5,5,6.96,0
19.16,11,2,3,0,0,0,0,49.2,1,0,19.11,0
113.92,14,1,0,0,0,0,0,41.3,4,3,23.42,0
61.25,10,5,1,0,1,0,0,31.8,0,1,20.34,0
16.98,10,2,0,0,1,0,0,93.9,0,1,5.44,0
18.82,9,2,2,0,1,0,0,64.4,1,2,14.83,0
50.5,20,7,5,0,4,1,1,31.9,1,3,73.07,0
44.51,8,1,1,0,2,1,0,123.4,0,2,30.48,0
22.62,11,2,2,0,0,0,0,22.5,2,3,13.0,0
1.35,16,1,1,0,0,0,0,134.6,2,1,46.97,0
135.41,0,8,6,1,5,1,1,848.0,3,5,15.16,1
6.42,13,1,0,0,0,0,0,49.7,2,3,15.98,0
14.04,9,2,0,0,0,0,0,76.3,0,1,50.63,0
56.72,9,3,0,0,1,0,0,84.4,1,1,88.65,0
31.79,19,1,1,0,0,0,0,8.0,1,2,51.98,0
20.81,11,2,0,0,0,0,0,171.0,1,2,27.41,0
15.3,19,0,1,0,0,0,0,37.8,0,1,16.13,0
22.36,9,2,2,0,0,0,0,184.4,2,4,21.11,0
59.76,18,4,0,0,0,0,0,30.4,1,1,189.76,0
11.81,11,0,1,0,0,0,0,60.7,0,3,17.26,0
19.35,20,3,1,0,0,0,0,64.9,1,0,25.65,0
192.74,15,7,3,0,3,0,0,598.5,3,2,31.08,0
74.93,16,1,1,0,0,1,0,8.5,2,1,23.37,0
4.66,17,1,3,0,0,1,0,24.5,1,3,193.12,0
53.35,15,0,1,0,0,0,0,8.8,0,4,24.76,0
13.42,19,3,1,0,0,0,0,19.3,1,5,13.88,0
21.99,15,3,1,0,0,0,0,3.6,3,4,28.25,0
60.25,11,5,4,0,1,0,1,77.6,0,2,25.39,0
50.96,17,0,4,1,0,0,0,4.3,0,2,25.93,0
52.69,9,1,1,0,2,0,0,21.6,0,2,29.08,0
5.11,18,5,2,0,0,0,0,47.2,3,0,30.03,0
15.73,11,3,1,1,1,0,0,131.7,1,0,18.57,0
15.17,19,2,2,0,1,0,0,1.3,0,1,18.03,0
76.14,12,1,1,0,1,0,0,38.1,2,0,24.29,0
7.05,14,1,1,0,0,0,0,53.9,0,1,30.48,0
43.26,14,2,1,0,1,1,0,33.5,2,1,32.85,0
59.27,19,4,1,0,0,0,0,50.2,1,1,5.43,0
138.19,16,0,3,0,1,0,0,0.7,1,2,62.94,0
15.57,17,4,1,0,0,0,0,73.5,3,0,4.75,0
29.14,17,2,2,0,0,0,1,140.6,2,0,81.94,0
27.74,9,2,2,0,1,0,0,57.2,0,0,13.36,0
20.57,13,2,2,0,2,0,0,19.8,1,1,4.96,0
7.39,20,2,1,0,1,0,0,222.4,1,0,20.49,0
31.12,9,1,2,0,1,0,0,40.2,2,1,18.5,0
21.85,9,0,0,0,0,0,0,32.6,1,1,48.36,0
26.9,13,2,0,0,0,0,0,47.2,0,3,19.96,0
73.96,17,4,0,0,0,0,0,46.2,1,2,51.26,0
13.87,23,4,8,0,1,0,0,416.2,8,2,26.43,0
4.36,19,3,1,0,0,0,0,22.2,1,0,3.8,0
22.43,11,2,2,0,0,0,0,59.2,2,1,38.52,0
43.74,20,0,1,0,0,0,0,22.0,0,0,3.84,0
95.57,2,6,4,0,4,0,0,120.6,6,1,20.85,0
11.06,9,0,0,0,0,0,0,11.5,3,1,1.92,0
99.29,14,3,3,0,0,0,0,35.9,1,1,14.43,0
16.55,18,0,1,0,0,1,0,11.8,1,3,73.06,0
31.57,14,0,0,0,0,0,0,139.7,0,0,11.94,0
11.91,17,1,0,0,0,0,0,151.2,1,5,106.07,0
64.79,7,2,4,1,2,1,1,624.3,0,3,15.51,0
12.18,19,1,3,0,1,0,0,178.8,1,0,66.87,0
29.26,18,1,0,0,0,0,0,25.8,1,2,24.61,0
25.9,20,6,1,0,0,0,0,79.9,3,0,4.7,0
3.22,9,4,1,0,0,0,0,42.4,0,2,72.16,0
44.63,0,7,3,0,2,0,1,87.8,4,3,9.91,0
37.98,19,2,2,0,0,0,0,104.9,0,3,9.89,0
36.78,14,0,1,0,0,0,0,52.9,0,2,21.32,0
51.66,20,2,2,0,0,0,0,3.5,0,2,8.13,0
44.04,13,3,1,0,0,0,1,101.0,2,3,24.64,0
63.07,15,2,2,0,1,0,0,31.3,0,2,72.37,0
109.31,16,2,6,0,3,1,0,147.4,2,1,21.26,0
45.36,15,2,0,0,2,0,0,160.5,0,2,26.08,0
3.45,11,5,2,0,1,0,0,2.9,2,5,23.69,0
117.39,13,0,1,0,0,0,0,42.4,1,3,47.24,0
32.87,20,1,2,0,0,0,0,31.1,1,0,69.76,0
137.12,23,10,8,1,6,1,1,50.0,1,3,14.23,1
20.94,10,0,3,1,1,0,0,9.6,0,0,12.0,0
206.24,23,5,5,0,2,0,0,10.0,1,3,63.01,0
25.86,12,3,0,0,1,0,1,18.2,0,1,19.04,0
107.52,9,2,2,0,1,0,0,55.0,0,0,16.16,0
89.29,15,11,3,2,2,1,0,107.0,2,3,55.21,1
16.59,12,1,1,0,0,0,0,21.8,1,3,13.0,0
13.09,8,1,0,0,0,0,0,20.1,1,4,4.61,0
101.67,17,1,1,0,0,0,0,76.0,0,1,47.18,0
4.92,19,0,1,0,0,0,0,52.9,0,0,13.97,0
26.17,12,3,0,0,0,0,0,34.0,1,1,12.05,0
8.91,8,3,1,0,0,0,0,13.1,1,2,4.83,0
48.31,8,4,2,0,3,0,0,782.7,2,3,10.43,0
22.23,9,1,0,0,0,0,0,3.5,0,0,4.72,0
30.37,17,4,4,0,0,0,0,42.1,2,3,185.02,0
53.52,17,1,0,0,0,0,0,147.1,3,2,87.63,0
221.32,17,1,2,0,0,0,0,48.1,1,1,41.57,0
181.53,20,1,0,0,0,1,0,38.2,3,5,18.98,0
11.34,14,3,0,0,0,0,0,20.3,2,0,17.38,0
6.92,11,3,2,0,1,0,0,2.8,1,2,9.71,0
88.49,15,3,2,0,1,0,0,41.6,1,2,18.85,0
9.04,12,2,0,0,1,1,1,7.4,0,1,6.02,0
21.63,10,5,2,0,0,0,0,26.6,2,1,23.29,0
7.3,18,4,0,0,0,0,0,90.6,4,2,13.2,0
1829.3,9,9,6,0,7,0,1,734.5,5,8,21.02,1
20.55,8,3,0,0,0,0,0,12.5,0,0,20.34,0
33.48,20,1,0,0,0,0,0,35.6,0,2,112.91,0
12.35,11,2,2,0,0,0,0,8.9,0,0,2.83,0
67.78,15,3,3,0,0,0,0,8.8,0,1,24.01,0
24.26,19,1,1,0,1,0,1,1.8,1,0,10.67,0
43.89,14,1,0,0,0,0,0,80.6,2,0,4.36,0
26.01,13,4,0,0,1,0,0,24.6,1,3,9.44,0
20.47,12,1,4,0,0,0,0,27.7,0,2,29.97,0
54.07,11,2,3,0,0,0,0,7.5,1,1,20.47,0
11.09,18,0,0,0,0,0,0,50.7,0,2,18.49,0
31.87,8,10,3,0,0,0,0,612.4,3,1,32.82,0
7.38,16,2,0,0,0,0,0,120.0,2,1,22.13,0
21.99,19,2,0,0,0,0,0,49.2,0,0,33.92,0
37.58,18,4,1,0,0,0,0,45.8,0,0,11.65,0
1407.37,2,4,4,0,4,0,0,841.4,4,7,90.51,1
32.65,19,0,1,0,0,0,0,63.3,0,0,24.95,0
11.63,21,1,2,0,0,0,0,69.0,1,0,2.42,0
134.51,1,10,3,0,2,0,0,432.9,1,1,27.42,0
22.5,19,1,2,0,0,0,0,2.4,0,1,14.98,0
12.69,20,1,2,0,0,0,0,68.6,1,1,25.79,0
39.25,13,3,0,0,0,0,0,16.1,1,3,9.01,0
18.73,9,3,2,0,0,0,0,25.1,1,1,11.87,0
95.26,8,2,1,0,1,0,0,77.0,2,2,10.94,0
19.81,11,3,1,0,0,0,0,23.2,2,1,25.11,0
6.32,20,3,2,0,0,0,0,23.7,2,2,7.25,0
164.43,13,1,3,0,1,0,0,10.7,0,1,56.69,0
274.49,10,7,3,0,1,0,0,36.8,4,2,2.55,0
73.55,19,0,2,0,1,0,0,112.5,0,1,222.42,0
15.61,18,4,1,0,1,0,0,43.2,0,1,57.1,0
36.28,18,1,2,0,0,0,0,17.9,1,1,58.47,0
106.19,2,8,5,0,4,1,1,166.8,1,6,25.93,0
5.58,16,2,1,0,0,0,0,134.2,0,2,15.49,0
23.16,20,2,0,0,0,0,0,104.1,1,1,18.99,0
18.19,20,3,1,0,0,0,0,84.9,2,0,5.32,0
4.66,9,0,2,0,0,0,0,36.8,3,3,38.77,0
17.78,9,3,1,0,0,0,0,58.6,0,1,10.76,0
48.83,12,2,0,1,0,0,0,30.5,2,2,39.05,0
182.42,17,1,0,0,1,0,0,24.9,1,0,35.54,0
11.17,12,4,1,0,0,0,0,168.4,0,2,13.65,0
47.59,21,1,0,0,0,0,0,47.9,0,1,12.67,0
26.03,15,2,0,0,1,0,0,32.2,2,2,49.74,0
474.37,2,7,9,2,1,1,1,553.7,4,5,66.55,1
30.36,20,3,1,0,1,1,0,86.9,0,1,12.96,0
18.06,17,1,1,0,0,0,0,73.1,2,2,93.51,0
1116.26,13,3,6,3,4,1,1,359.1,5,3,22.85,1
15.17,15,3,3,0,0,0,0,0.4,2,0,45.4,0
19.42,14,4,0,0,1,0,0,79.2,2,3,9.37,0
44.05,20,1,2,0,0,0,0,27.4,2,1,15.45,0
17.21,19,0,1,0,0,0,0,45.3,2,2,8.78,0
8.67,12,2,0,0,0,1,0,1.9,3,1,10.58,0
4.19,18,2,2,0,0,0,0,123.3,0,0,21.49,0
19.22,19,2,0,0,0,0,0,27.2,1,2,10.76,0
56.13,20,0,1,0,0,0,1,23.4,1,1,17.4,0
40.12,15,3,0,0,2,0,0,42.7,1,0,15.65,0
44.46,9,1,0,0,0,0,1,25.7,2,1,4.35,0
134.05,18,2,2,0,1,0,0,143.9,0,0,9.09,0
10.73,18,3,0,0,0,0,0,4.0,0,1,34.86,0
9.25,18,0,3,0,0,0,0,79.5,2,6,8.49,0
22.1,13,2,0,0,0,0,0,16.8,0,1,8.57,0
5.76,16,1,1,0,0,0,0,3.9,0,0,36.5,0
40.42,18,4,0,0,0,0,0,45.2,0,1,39.11,0
293.33,8,6,5,0,1,0,0,64.4,5,1,17.54,0
8.16,9,0,1,0,1,0,0,71.8,3,3,58.5,0
20.75,10,1,1,1,0,0,0,31.7,4,1,17.63,0
14.35,10,2,1,0,1,0,0,82.8,1,1,81.1,0
32.61,12,0,2,0,0,0,0,47.3,1,1,46.16,0
8.65,10,1,2,0,0,0,0,90.6,0,0,28.5,0
34.29,19,1,2,0,0,0,0,4.3,1,1,20.96,0
101.71,3,7,5,0,3,0,1,102.4,0,7,5.14,0
22.91,13,1,4,0,0,0,0,21.3,1,3,22.99,0
30.09,9,4,2,0,2,0,0,4.4,1,0,7.52,0
24.56,12,2,1,0,1,0,0,110.1,3,0,21.35,0
34.81,17,4,1,0,1,0,0,58.8,3,3,23.69,0
35.83,19,0,1,0,0,0,0,69.6,1,2,8.58,0
109.63,12,4,0,0,1,0,0,87.9,6,2,18.73,0
7.91,19,1,0,0,1,0,0,9.1,2,0,19.63,0
18.35,13,1,0,0,0,0,0,14.3,0,0,53.51,0
45.58,13,4,1,0,0,0,0,205.2,0,2,46.08,0
6.91,19,2,1,0,2,0,0,107.0,1,1,103.4,0
94.54,19,4,0,0,0,0,0,27.8,1,4,45.67,0
18.21,14,2,1,0,0,0,0,4.5,3,2,22.87,0
5.5,12,4,0,0,0,0,0,7.2,1,2,50.52,0
38.57,16,3,4,0,0,0,0,3.4,3,2,17.73,0
14.71,20,2,0,0,0,0,0,27.8,0,0,97.24,0
12.08,17,2,0,0,0,0,0,15.7,1,1,36.96,0
93.55,2,6,6,0,1,0,1,493.6,2,2,21.75,0
11.63,21,2,0,0,1,0,0,16.4,1,2,24.49,0
188.26,23,5,1,0,6,1,0,27.9,0,4,18.86,0
24.0,19,2,2,0,0,0,0,63.0,0,2,24.52,0
8.25,12,1,1,0,1,0,0,19.4,1,3,4.01,0
24.45,19,1,2,0,0,0,0,25.8,2,2,69.49,0
34.78,19,3,1,0,1,0,0,11.6,2,1,34.0,0
12.54,18,1,0,0,0,0,0,12.9,0,2,3.53,0
12.22,8,2,0,0,0,0,0,93.7,3,1,6.48,0
105.72,17,2,1,0,0,0,0,69.0,1,1,42.5,0
12.96,16,0,1,0,0,0,0,12.8,1,0,53.45,0
13.61,10,3,1,0,0,0,0,29.3,0,1,2.62,0
41.02,21,2,1,0,0,0,0,21.0,0,0,15.9,0
76.84,17,0,1,0,0,0,0,63.6,0,0,78.23,0
64.37,13,4,7,0,3,0,0,11.0,2,2,47.7,0
165.03,10,1,4,1,1,0,0,12.6,0,0,7.66,0
50.11,10,0,0,0,0,0,0,43.2,1,2,9.89,0
69.82,17,4,1,0,0,0,0,4.7,1,0,26.33,0
85.42,3,3,3,2,1,1,1,600.1,5,3,14.77,1
34.43,12,3,1,0,0,0,0,13.1,1,0,20.41,0
43.41,14,6,1,0,0,0,1,78.4,2,0,29.12,0
4.25,17,6,2,0,0,0,0,79.7,3,0,11.72,0
32.77,17,1,1,0,0,0,0,20.5,3,1,47.68,0
11.33,9,0,1,0,1,0,0,6.3,1,1,44.5,0
56.16,9,2,0,0,1,0,1,52.4,2,1,29.18,0
63.73,14,3,1,0,1,0,0,9.0,1,5,23.84,0
9.61,14,2,0,0,0,0,0,11.3,2,3,72.82,0
26.46,15,3,1,0,1,0,0,36.7,0,2,47.1,0
19.51,15,1,1,0,0,0,0,47.8,1,3,115.45,0
45.76,10,6,0,0,0,0,0,70.2,2,0,25.09,0
46.79,20,2,0,0,0,0,0,47.5,0,1,21.59,0
29.64,14,3,0,0,1,0,0,77.8,1,1,83.11,0
21.09,9,3,4,0,2,0,0,28.3,0,3,21.3,0
10.0,10,9,2,0,3,0,1,14.6,3,4,101.6,0
24.75,17,3,1,0,0,0,0,80.8,1,3,13.88,0
9.19,19,1,3,0,1,0,1,237.9,0,2,46.12,0
20.71,16,2,1,0,0,0,0,107.0,1,5,45.67,0
54.18,10,1,1,0,0,0,0,40.4,1,4,41.04,0
16.8,19,1,1,0,0,0,0,3.0,2,0,65.61,0
364.34,19,2,2,0,1,1,0,26.2,0,2,23.49,0
16.47,13,1,1,0,0,0,0,116.8,1,1,61.82,0
26.94,11,2,1,0,0,0,0,56.2,2,1,50.16,0
95.19,22,5,4,0,0,1,1,499.3,0,9,29.64,0
190.33,18,4,1,0,0,0,0,42.0,1,1,82.22,0
29.92,18,5,2,1,1,0,0,67.1,4,1,15.23,1
15.35,18,2,0,0,0,1,0,17.4,3,1,25.01,0
10.02,20,1,2,0,0,0,0,14.9,1,1,64.23,0
45.92,11,2,0,0,0,0,0,18.7,1,0,33.59,0
6.62,21,1,0,0,1,0,0,142.3,0,0,11.44,0
51.44,14,3,0,0,2,0,0,16.3,1,2,7.96,0
17.78,13,2,0,0,0,0,0,18.3,2,2,23.42,0
9.6,20,1,0,0,0,0,0,0.2,1,1,4.75,0
40.14,15,2,0,0,0,0,0,13.1,0,3,159.84,0
28.85,21,3,1,0,1,0,0,41.3,1,1,13.33,0
32.43,13,0,1,0,0,0,0,3.8,3,3,41.2,0
72.43,20,4,6,0,1,0,0,174.2,2,1,80.93,0
25.13,10,5,0,0,0,0,0,0.4,0,3,14.56,0
29.48,14,2,0,0,0,0,0,131.6,1,0,18.64,0
82.51,15,1,1,0,0,0,0,164.8,2,0,41.03,0
57.46,17,1,0,0,1,0,0,41.1,1,0,14.77,0
188.96,20,1,3,0,1,0,0,65.9,1,2,4.71,0
14.68,20,1,1,0,0,0,0,59.5,0,3,11.99,0
89.13,15,1,1,0,0,0,0,76.8,1,1,85.71,0
16.5,18,6,2,0,4,0,1,370.2,1,3,59.96,0
11.7,9,1,3,0,0,0,0,168.8,1,0,50.61,0
22.31,18,2,1,0,0,0,0,49.3,1,1,11.99,0
8.27,20,5,1,0,0,0,0,17.8,1,1,32.46,0
13.21,16,1,1,0,0,0,1,11.2,0,1,138.95,0
7.3,20,1,0,0,0,0,0,36.4,0,2,53.77,0
17.96,14,1,2,0,0,0,0,13.2,3,0,51.16,0
42.56,18,3,0,0,0,0,0,61.7,0,0,9.9,0
14.6,15,2,2,0,0,0,0,26.3,1,4,149.09,0
27.45,20,2,0,0,0,0,0,1.4,0,0,4.35,0
5.57,11,0,0,0,0,0,0,101.6,0,0,12.55,0
33.47,11,0,0,0,1,0,0,14.0,0,3,8.28,0
64.16,17,1,4,0,0,0,0,0.9,0,0,37.35,0
61.6,9,1,2,0,0,0,0,17.5,1,4,43.89,0
29.92,12,2,0,0,0,0,0,149.2,1,1,15.5,0
14.45,14,1,0,0,0,0,0,303.6,3,0,24.66,0
20.78,12,1,2,0,0,0,0,4.7,0,1,45.78,0
68.25,13,5,2,0,0,0,0,10.2,0,1,19.64,0
