amount,hour_of_day,is_night,recent_transaction_count,velocity_1h,previous_chargebacks,failed_transaction_count,is_new_device,is_new_ip,distance_from_home,device_account_count,ip_account_count,amount_deviation,is_fraud
22.22,12,0,0,0,0,0,0,0,42.5,1,2,0.537,0
27.60,17,0,2,2,0,0,0,0,77.3,2,1,0.355,0
78.72,14,0,2,1,0,0,0,0,45.7,1,1,2.039,0
107.52,16,0,4,1,0,0,0,0,24.7,1,1,6.918,0
57.28,18,0,4,4,0,0,0,0,110.2,1,2,0.544,0
27.76,13,0,4,4,0,0,0,0,85.2,1,3,0.643,0
29.39,11,0,0,1,0,0,0,0,173.6,3,3,0.584,0
69.68,10,0,5,5,0,0,0,0,26.9,1,1,0.794,0
33.51,13,0,1,1,0,0,0,0,158.7,1,3,0.533,0
12.70,16,0,2,2,0,1,0,0,55.9,2,2,0.543,0
97.88,12,0,2,2,0,0,0,0,54.1,1,1,10.010,0
274.90,0,1,4,1,1,5,1,0,192.2,3,2,8.783,0
72.41,12,0,2,2,0,1,0,0,9.2,1,1,0.173,0
33.89,19,0,5,6,1,9,1,0,50.0,4,8,2.042,1
133.60,18,0,2,4,0,1,0,0,19.2,1,2,5.607,0
20.71,10,0,6,1,0,0,0,0,29.5,1,2,0.674,0
8.76,14,0,1,1,0,0,0,0,65.9,2,1,0.254,0
33.08,16,0,2,2,0,0,1,0,42.6,1,3,0.782,0
34.32,9,0,4,5,0,1,0,0,40.1,5,2,0.282,0
13.02,19,0,3,1,0,1,0,0,55.3,1,3,0.149,0
51.02,16,0,3,2,0,1,0,0,17.2,1,3,0.550,0
29.25,10,0,8,2,0,0,0,0,43.8,2,1,1.997,0
76.65,15,0,4,5,0,4,0,0,105.1,3,2,2.578,0
4.76,13,0,0,1,0,0,0,0,37.4,1,1,0.888,0
52.97,20,0,3,1,0,0,0,0,23.3,1,1,0.305,0
48.24,16,0,1,1,0,0,0,0,36.5,1,1,1.321,0
29.67,20,0,1,1,0,0,0,0,1.4,2,2,0.256,0
33.79,13,0,1,2,0,0,0,1,4.7,2,1,0.913,0
116.11,9,0,1,1,0,0,0,1,101.0,1,1,9.230,0
64.07,18,0,4,4,0,0,0,0,47.0,1,1,1.116,0
21.78,13,0,1,1,0,0,0,0,30.2,1,2,0.388,0
5.44,15,0,5,1,0,1,0,0,23.3,1,5,0.981,0
35.26,20,0,3,3,0,0,0,0,145.8,2,1,0.130,0
16.46,20,0,3,3,0,0,0,0,32.8,3,3,1.505,0
106.73,15,0,2,2,0,0,0,0,11.6,1,6,5.304,0
22.11,17,0,5,1,0,0,1,0,12.1,1,1,0.225,0
6.64,9,0,0,1,0,1,0,0,64.5,1,3,0.145,0
13.51,9,0,3,2,0,1,0,0,23.4,1,3,0.900,0
25.00,14,0,1,1,0,0,0,0,0.0,2,1,0.420,0
871.97,23,1,2,9,0,2,0,1,14.5,2,4,8.213,0
6.34,15,0,1,1,0,0,0,1,162.4,3,2,0.733,0
19.56,10,0,2,2,0,0,0,0,71.4,2,1,0.196,0
12.34,15,0,2,2,0,0,0,0,222.9,1,2,0.506,0
28.53,18,0,0,0,1,0,0,0,67.5,1,1,0.463,0
35.16,13,0,2,2,0,0,0,0,256.1,1,1,0.163,0
59.79,1,1,8,4,0,2,1,0,32.9,3,4,7.754,0
36.06,17,0,4,4,0,1,0,0,18.4,2,2,1.417,0
22.07,9,0,2,2,0,1,0,0,38.7,1,1,0.250,0
36.56,14,0,0,1,0,0,0,0,35.6,2,4,0.316,0
102.73,13,0,1,2,1,0,0,0,9.6,1,4,2.344,0
30.71,19,0,3,2,0,0,0,0,62.4,1,1,0.683,0
57.27,18,0,3,3,0,0,0,0,115.7,1,1,1.232,0
65.18,19,0,1,2,1,1,0,0,10.6,1,1,1.401,0
12.31,15,0,0,2,0,0,0,0,97.2,1,3,0.564,0
17.42,19,0,1,2,0,0,0,0,41.4,2,1,1.101,0
34.80,21,0,11,1,0,1,0,0,27.8,1,3,0.355,0
16.73,12,0,2,3,0,0,0,0,17.1,3,1,0.649,0
12.82,21,0,2,2,0,0,0,0,9.4,2,1,0.861,0
22.84,20,0,3,2,0,0,0,0,11.6,1,1,0.162,0
19.86,10,0,3,1,0,0,0,0,35.9,1,2,0.884,0
6.43,15,0,0,2,0,0,0,1,7.1,1,1,0.412,0
19.03,14,0,4,1,0,1,0,0,102.9,4,2,0.853,0
44.22,10,0,4,4,0,0,0,0,55.8,1,1,2.540,0
58.89,14,0,2,2,0,0,0,0,143.2,1,1,2.524,0
30.75,9,0,2,3,0,0,0,0,13.3,3,1,0.035,0
169.85,13,0,3,1,0,0,1,0,7.1,1,1,3.017,0
12.74,19,0,3,3,0,0,0,0,58.2,1,4,0.856,0
24.51,16,0,4,3,1,0,0,0,20.0,1,1,0.455,0
6.74,15,0,2,2,0,0,0,0,2.4,1,1,0.901,0
70.32,12,0,3,1,0,1,0,0,45.5,1,3,0.613,0
13.38,19,0,3,1,0,0,1,0,33.6,2,1,0.335,0
27.14,13,0,2,2,1,0,0,0,19.6,2,1,0.075,0
38.02,20,0,3,3,0,0,0,0,103.9,1,3,0.372,0
32.11,12,0,1,1,0,0,0,0,83.1,1,1,0.264,0
29.31,13,0,2,1,0,1,1,0,128.0,1,1,1.862,0
41.01,11,0,2,2,0,0,0,0,10.7,1,2,2.511,0
42.11,10,0,0,3,0,0,0,0,145.5,1,2,6.248,0
30.54,10,0,0,1,0,0,0,0,116.3,1,1,0.011,0
9.38,15,0,1,1,0,1,0,0,3.5,1,2,0.783,0
85.07,9,0,0,1,0,2,0,0,12.2,2,4,3.327,0
26.08,10,0,2,2,0,0,0,0,10.5,1,1,0.235,0
18.66,9,0,1,9,1,2,1,1,335.6,5,5,0.189,1
19.44,20,0,3,3,0,1,0,0,45.4,1,2,0.388,0
29.67,17,0,2,1,0,0,0,0,7.8,1,1,1.564,0
38.65,12,0,2,3,0,0,0,0,57.0,3,1,7.824,0
5.64,14,0,2,2,0,0,0,0,11.5,1,1,0.510,0
19.56,21,0,2,2,0,0,0,0,16.7,1,1,0.617,0
28.58,16,0,3,3,0,0,0,0,39.2,1,2,0.044,0
155.72,8,0,0,3,0,1,0,0,5.0,1,1,7.813,0
8.90,21,0,0,1,0,0,0,0,34.5,1,1,0.382,0
11.96,9,0,1,2,0,0,0,0,11.9,3,1,0.764,0
39.23,12,0,0,2,0,0,0,0,1.5,1,1,1.605,0
7.22,14,0,3,1,0,0,0,0,28.5,2,4,0.020,0
48.10,15,0,1,1,0,0,0,0,1.0,3,2,2.173,0
79.28,17,0,1,1,0,2,0,0,23.1,3,3,6.110,0
79.06,20,0,3,3,0,0,0,0,20.3,1,1,5.360,0
25.76,17,0,3,3,0,1,0,0,77.9,1,1,0.246,0
16.01,17,0,0,1,0,0,0,0,19.5,1,1,0.032,0
131.45,10,0,4,4,0,0,0,0,35.0,1,1,0.384,0
8.01,12,0,2,1,0,1,0,0,9.0,2,1,0.875,0
48.82,12,0,1,1,0,0,0,0,12.6,1,3,0.297,0
53.75,10,0,0,1,0,0,0,0,13.2,1,1,0.128,0
19.48,12,0,2,2,0,0,0,0,0.2,1,3,0.208,0
33.01,19,0,4,3,0,1,0,0,78.3,2,1,0.362,0
7.05,14,0,1,1,0,0,0,0,1.4,1,1,0.028,0
7.87,10,0,4,4,0,0,0,0,13.5,1,1,0.890,0
7.22,18,0,1,1,0,0,0,0,71.7,3,1,0.779,0
52.70,13,0,1,2,0,0,0,1,44.2,2,1,1.111,0
20.39,18,0,0,1,0,2,0,1,116.4,1,4,8.664,0
4.66,16,0,3,2,0,1,0,0,12.5,1,1,0.749,0
17.79,12,0,2,1,0,2,0,0,43.8,2,4,0.675,0
38.36,17,0,0,0,0,1,0,0,87.0,4,1,0.066,0
2.79,9,0,2,1,0,0,0,0,22.8,2,1,0.986,0
22.15,16,0,0,2,0,0,0,0,58.0,4,3,0.205,0
30.36,19,0,2,2,0,0,0,0,28.1,2,2,0.689,0
6.77,10,0,1,1,0,0,0,0,67.8,2,1,0.645,0
41.32,21,0,2,2,0,0,0,0,74.8,1,1,1.685,0
30.22,9,0,3,3,0,0,0,0,12.5,2,2,0.763,0
39.16,15,0,0,1,0,0,0,0,86.7,2,3,2.215,0
68.30,15,0,4,2,0,0,0,0,28.5,2,2,0.081,0
78.84,20,0,8,4,0,0,0,0,249.7,5,4,1.656,0
6.58,16,0,3,3,0,0,0,0,13.1,1,3,0.968,0
12.69,15,0,2,2,0,0,0,0,34.9,1,2,0.632,0
102.72,10,0,3,1,0,1,0,0,10.2,2,1,9.262,0
23.02,16,0,0,0,0,1,0,0,77.1,2,1,0.496,0
75.09,12,0,1,2,0,0,0,0,76.1,3,2,3.940,0
23.27,20,0,0,1,0,0,0,0,6.5,2,1,1.635,0
5.58,20,0,2,2,0,1,0,0,10.6,1,2,0.755,0
13.98,13,0,3,2,0,0,0,0,15.7,1,1,0.226,0
18.63,10,0,1,1,0,0,0,0,1.1,1,2,0.756,0
20.92,16,0,2,2,0,0,0,0,180.1,1,2,0.293,0
14.08,9,0,2,2,0,0,0,0,21.8,1,1,0.648,0
13.28,11,0,3,3,0,0,0,0,2.0,2,5,0.704,0
54.51,19,0,3,1,0,0,0,0,8.7,2,3,0.496,0
10.65,13,0,4,2,0,0,0,1,0.4,1,1,0.313,0
1188.19,2,1,3,3,0,0,0,0,320.7,5,5,169.717,0
19.16,11,0,2,3,0,0,0,0,49.2,1,1,0.003,0
113.92,14,0,1,1,0,0,0,0,41.3,4,3,3.864,0
61.25,10,0,5,1,0,1,0,0,31.8,1,1,2.011,0
16.98,10,0,2,2,0,1,0,0,93.9,1,1,2.121,0
18.82,9,0,2,2,0,1,0,0,64.4,1,2,0.269,0
50.50,20,0,7,5,0,4,1,1,31.9,1,3,0.309,0
44.51,8,0,1,1,0,2,1,0,123.4,1,2,0.460,0
22.62,11,0,2,2,0,0,0,0,22.5,2,3,0.740,0
1.35,16,0,1,1,0,0,0,0,134.6,2,1,0.971,0
135.41,0,1,8,6,1,5,1,1,848.0,3,5,7.932,1
6.42,13,0,1,1,0,0,0,0,49.7,2,3,0.598,0
14.04,9,0,2,2,0,0,0,0,76.3,1,1,0.723,0
56.72,9,0,3,3,0,1,0,0,84.4,1,1,0.360,0
31.79,19,0,1,1,0,0,0,0,8.0,1,2,0.388,0
20.81,11,0,2,2,0,0,0,0,171.0,1,2,0.241,0
15.30,19,0,0,1,0,0,0,0,37.8,1,1,0.051,0
22.36,9,0,2,2,0,0,0,0,184.4,2,4,0.059,0
59.76,18,0,4,4,0,0,0,0,30.4,1,1,0.685,0
11.81,11,0,0,1,0,0,0,0,60.7,1,3,0.316,0
19.35,20,0,3,1,0,0,0,0,64.9,1,1,0.246,0
192.74,15,0,7,3,0,3,0,0,598.5,3,2,5.201,0
74.93,16,0,1,1,0,0,1,0,8.5,2,1,2.206,0
4.66,17,0,1,3,0,0,1,0,24.5,1,3,0.976,0
53.35,15,0,0,1,0,0,0,0,8.8,1,4,1.155,0
13.42,19,0,3,1,0,0,0,0,19.3,1,5,0.033,0
21.99,15,0,3,1,0,0,0,0,3.6,3,4,0.222,0
60.25,11,0,5,4,0,1,0,1,77.6,1,2,1.373,0
50.96,17,0,0,4,1,0,0,0,4.3,1,2,0.965,0
52.69,9,0,1,1,0,2,0,0,21.6,1,2,0.812,0
5.11,18,0,5,2,0,0,0,0,47.2,3,1,0.830,0
15.73,11,0,3,1,1,1,0,0,131.7,1,1,0.153,0
15.17,19,0,2,2,0,1,0,0,1.3,1,1,0.159,0
76.14,12,0,1,1,0,1,0,0,38.1,2,1,2.135,0
7.05,14,0,1,1,0,0,0,0,53.9,1,1,0.769,0
43.26,14,0,2,1,0,1,1,0,33.5,2,1,0.317,0
59.27,19,0,4,1,0,0,0,0,50.2,1,1,9.915,0
138.19,16,0,0,3,0,1,0,0,0.7,1,2,1.196,0
15.57,17,0,4,1,0,0,0,0,73.5,3,1,2.278,0
29.14,17,0,2,2,0,0,0,1,140.6,2,1,0.644,0
27.74,9,0,2,2,0,1,0,0,57.2,1,1,1.076,0
20.57,13,0,2,2,0,2,0,0,19.8,1,1,3.147,0
7.39,20,0,2,1,0,1,0,0,222.4,1,1,0.639,0
31.12,9,0,1,2,0,1,0,0,40.2,2,1,0.682,0
21.85,9,0,0,0,0,0,0,0,32.6,1,1,0.548,0
26.90,13,0,2,2,0,0,0,0,47.2,1,3,0.348,0
73.96,17,0,4,4,0,0,0,0,46.2,1,2,0.443,0
13.87,23,1,4,8,0,1,0,0,416.2,8,2,0.475,0
4.36,19,0,3,1,0,0,0,0,22.2,1,1,0.147,0
22.43,11,0,2,2,0,0,0,0,59.2,2,1,0.418,0
43.74,20,0,0,1,0,0,0,0,22.0,1,1,10.391,0
95.57,2,1,6,4,0,4,0,0,120.6,6,1,3.584,0
11.06,9,0,0,0,0,0,0,0,11.5,3,1,4.760,0
99.29,14,0,3,3,0,0,0,0,35.9,1,1,5.881,0
16.55,18,0,0,1,0,0,1,0,11.8,1,3,0.773,0
31.57,14,0,0,0,0,0,0,0,139.7,1,1,1.644,0
11.91,17,0,1,1,0,0,0,0,151.2,1,5,0.888,0
64.79,7,0,2,4,1,2,1,1,624.3,1,3,3.177,0
12.18,19,0,1,3,0,1,0,0,178.8,1,1,0.818,0
29.26,18,0,1,1,0,0,0,0,25.8,1,2,0.189,0
25.90,20,0,6,1,0,0,0,0,79.9,3,1,4.511,0
3.22,9,0,4,1,0,0,0,0,42.4,1,2,0.955,0
44.63,0,1,7,3,0,2,0,1,87.8,4,3,3.504,0
37.98,19,0,2,2,0,0,0,0,104.9,1,3,2.840,0
36.78,14,0,0,1,0,0,0,0,52.9,1,2,0.725,0
51.66,20,0,2,2,0,0,0,0,3.5,1,2,5.354,0
44.04,13,0,3,1,0,0,0,1,101.0,2,3,0.787,0
63.07,15,0,2,2,0,1,0,0,31.3,1,2,0.129,0
109.31,16,0,2,6,0,3,1,0,147.4,2,1,4.142,0
45.36,15,0,2,2,0,2,0,0,160.5,1,2,0.739,0
3.45,11,0,5,2,0,1,0,0,2.9,2,5,0.854,0
117.39,13,0,0,1,0,0,0,0,42.4,1,3,1.485,0
32.87,20,0,1,2,0,0,0,0,31.1,1,1,0.529,0
137.12,23,1,10,8,1,6,1,1,50.0,1,3,8.636,1
20.94,10,0,0,3,1,1,0,0,9.6,1,1,0.745,0
206.24,23,1,5,5,0,2,0,0,10.0,1,3,2.273,0
25.86,12,0,3,3,0,1,0,1,18.2,1,1,0.358,0
107.52,9,0,2,2,0,1,0,0,55.0,1,1,5.653,0
89.29,15,0,11,3,2,2,1,0,107.0,2,3,0.617,1
16.59,12,0,1,1,0,0,0,0,21.8,1,3,0.276,0
13.09,8,0,1,1,0,0,0,0,20.1,1,4,1.839,0
101.67,17,0,1,1,0,0,0,0,76.0,1,1,1.155,0
4.92,19,0,0,1,0,0,0,0,52.9,1,1,0.648,0
26.17,12,0,3,3,0,0,0,0,34.0,1,1,1.172,0
8.91,8,0,3,1,0,0,0,0,13.1,1,2,0.845,0
48.31,8,0,4,2,0,3,0,0,782.7,2,3,3.632,0
22.23,9,0,1,1,0,0,0,0,3.5,1,1,3.710,0
30.37,17,0,4,4,0,0,0,0,42.1,2,3,0.836,0
53.52,17,0,1,1,0,0,0,0,147.1,3,2,0.389,0
221.32,17,0,1,2,0,0,0,0,48.1,1,1,4.324,0
181.53,20,0,1,1,0,0,1,0,38.2,3,5,8.564,0
11.34,14,0,3,3,0,0,0,0,20.3,2,1,0.348,0
6.92,11,0,3,2,0,1,0,0,2.8,1,2,0.287,0
88.49,15,0,3,2,0,1,0,0,41.6,1,2,3.694,0
9.04,12,0,2,2,0,1,1,1,7.4,1,1,0.502,0
21.63,10,0,5,2,0,0,0,0,26.6,2,1,0.071,0
7.30,18,0,4,4,0,0,0,0,90.6,4,2,0.447,0
1829.30,9,0,9,6,0,7,0,1,734.5,5,8,86.027,1
20.55,8,0,3,3,0,0,0,0,12.5,1,1,0.010,0
33.48,20,0,1,1,0,0,0,0,35.6,1,2,0.703,0
12.35,11,0,2,2,0,0,0,0,8.9,1,1,3.364,0
67.78,15,0,3,3,0,0,0,0,8.8,1,1,1.823,0
24.26,19,0,1,1,0,1,0,1,1.8,1,1,1.274,0
43.89,14,0,1,1,0,0,0,0,80.6,2,1,9.067,0
26.01,13,0,4,4,0,1,0,0,24.6,1,3,1.755,0
20.47,12,0,1,4,0,0,0,0,27.7,1,2,0.317,0
54.07,11,0,2,3,0,0,0,0,7.5,1,1,1.641,0
11.09,18,0,0,0,0,0,0,0,50.7,1,2,0.400,0
31.87,8,0,10,3,0,0,0,0,612.4,3,1,0.029,0
7.38,16,0,2,2,0,0,0,0,120.0,2,1,0.667,0
21.99,19,0,2,2,0,0,0,0,49.2,1,1,0.352,0
37.58,18,0,4,1,0,0,0,0,45.8,1,1,2.226,0
1407.37,2,1,4,4,0,4,0,0,841.4,4,7,14.549,1
32.65,19,0,0,1,0,0,0,0,63.3,1,1,0.309,0
11.63,21,0,1,2,0,0,0,0,69.0,1,1,3.806,0
134.51,1,1,10,3,0,2,0,0,432.9,1,1,3.906,0
22.50,19,0,1,2,0,0,0,0,2.4,1,1,0.502,0
12.69,20,0,1,2,0,0,0,0,68.6,1,1,0.508,0
39.25,13,0,3,3,0,0,0,0,16.1,1,3,3.356,0
18.73,9,0,3,2,0,0,0,0,25.1,1,1,0.578,0
95.26,8,0,2,1,0,1,0,0,77.0,2,2,7.707,0
19.81,11,0,3,1,0,0,0,0,23.2,2,1,0.211,0
6.32,20,0,3,2,0,0,0,0,23.7,2,2,0.128,0
164.43,13,0,1,3,0,1,0,0,10.7,1,1,1.901,0
274.49,10,0,7,3,0,1,0,0,36.8,4,2,106.643,0
73.55,19,0,0,2,0,1,0,0,112.5,1,1,0.669,0
15.61,18,0,4,1,0,1,0,0,43.2,1,1,0.727,0
36.28,18,0,1,2,0,0,0,0,17.9,1,1,0.380,0
106.19,2,1,8,5,0,4,1,1,166.8,1,6,3.095,0
5.58,16,0,2,1,0,0,0,0,134.2,1,2,0.640,0
23.16,20,0,2,2,0,0,0,0,104.1,1,1,0.220,0
18.19,20,0,3,1,0,0,0,0,84.9,2,1,2.419,0
4.66,9,0,0,2,0,0,0,0,36.8,3,3,0.880,0
17.78,9,0,3,1,0,0,0,0,58.6,1,1,0.652,0
48.83,12,0,2,2,1,0,0,0,30.5,2,2,0.250,0
182.42,17,0,1,1,0,1,0,0,24.9,1,1,4.133,0
11.17,12,0,4,1,0,0,0,0,168.4,1,2,0.182,0
47.59,21,0,1,1,0,0,0,0,47.9,1,1,2.756,0
26.03,15,0,2,2,0,1,0,0,32.2,2,2,0.477,0
474.37,2,1,7,9,2,1,1,1,553.7,4,5,6.128,1
30.36,20,0,3,1,0,1,1,0,86.9,1,1,1.343,0
18.06,17,0,1,1,0,0,0,0,73.1,2,2,0.807,0
1116.26,13,0,3,6,3,4,1,1,359.1,5,3,47.852,1
15.17,15,0,3,3,0,0,0,0,0.4,2,1,0.666,0
19.42,14,0,4,4,0,1,0,0,79.2,2,3,1.073,0
44.05,20,0,1,2,0,0,0,0,27.4,2,1,1.851,0
17.21,19,0,0,1,0,0,0,0,45.3,2,2,0.960,0
8.67,12,0,2,2,0,0,1,0,1.9,3,1,0.181,0
4.19,18,0,2,2,0,0,0,0,123.3,1,1,0.805,0
19.22,19,0,2,2,0,0,0,0,27.2,1,2,0.786,0
56.13,20,0,0,1,0,0,0,1,23.4,1,1,2.226,0
40.12,15,0,3,3,0,2,0,0,42.7,1,1,1.564,0
44.46,9,0,1,1,0,0,0,1,25.7,2,1,9.221,0
134.05,18,0,2,2,0,1,0,0,143.9,1,1,13.747,0
10.73,18,0,3,3,0,0,0,0,4.0,1,1,0.692,0
9.25,18,0,0,3,0,0,0,0,79.5,2,6,0.090,0
22.10,13,0,2,2,0,0,0,0,16.8,1,1,1.579,0
5.76,16,0,1,1,0,0,0,0,3.9,1,1,0.842,0
40.42,18,0,4,4,0,0,0,0,45.2,1,1,0.033,0
293.33,8,0,6,5,0,1,0,0,64.4,5,1,15.723,0
8.16,9,0,0,1,0,1,0,0,71.8,3,3,0.861,0
20.75,10,0,1,1,1,0,0,0,31.7,4,1,0.177,0
14.35,10,0,2,1,0,1,0,0,82.8,1,1,0.823,0
32.61,12,0,0,2,0,0,0,0,47.3,1,1,0.294,0
8.65,10,0,1,2,0,0,0,0,90.6,1,1,0.696,0
34.29,19,0,1,2,0,0,0,0,4.3,1,1,0.636,0
101.71,3,1,7,5,0,3,0,1,102.4,1,7,18.788,0
22.91,13,0,1,4,0,0,0,0,21.3,1,3,0.003,0
30.09,9,0,4,2,0,2,0,0,4.4,1,1,3.001,0
24.56,12,0,2,1,0,1,0,0,110.1,3,1,0.150,0
34.81,17,0,4,1,0,1,0,0,58.8,3,3,0.469,0
35.83,19,0,0,1,0,0,0,0,69.6,1,2,3.176,0
109.63,12,0,4,4,0,1,0,0,87.9,6,2,4.853,0
7.91,19,0,1,1,0,1,0,0,9.1,2,1,0.597,0
18.35,13,0,1,1,0,0,0,0,14.3,1,1,0.657,0
45.58,13,0,4,1,0,0,0,0,205.2,1,2,0.011,0
6.91,19,0,2,1,0,2,0,0,107.0,1,1,0.933,0
94.54,19,0,4,4,0,0,0,0,27.8,1,4,1.070,0
18.21,14,0,2,1,0,0,0,0,4.5,3,2,0.204,0
5.50,12,0,4,4,0,0,0,0,7.2,1,2,0.891,0
38.57,16,0,3,4,0,0,0,0,3.4,3,2,1.175,0
14.71,20,0,2,2,0,0,0,0,27.8,1,1,0.849,0
12.08,17,0,2,2,0,0,0,0,15.7,1,1,0.673,0
93.55,2,1,6,6,0,1,0,1,493.6,2,2,3.301,0
11.63,21,0,2,2,0,1,0,0,16.4,1,2,0.525,0
188.26,23,1,5,1,0,6,1,0,27.9,1,4,8.982,0
24.00,19,0,2,2,0,0,0,0,63.0,1,2,0.021,0
8.25,12,0,1,1,0,1,0,0,19.4,1,3,1.057,0
24.45,19,0,1,2,0,0,0,0,25.8,2,2,0.648,0
34.78,19,0,3,1,0,1,0,0,11.6,2,1,0.023,0
12.54,18,0,1,1,0,0,0,0,12.9,1,2,2.552,0
12.22,8,0,2,2,0,0,0,0,93.7,3,1,0.886,0
105.72,17,0,2,1,0,0,0,0,69.0,1,1,1.488,0
12.96,16,0,0,1,0,0,0,0,12.8,1,1,0.758,0
13.61,10,0,3,1,0,0,0,0,29.3,1,1,4.195,0
41.02,21,0,2,1,0,0,0,0,21.0,1,1,1.580,0
76.84,17,0,0,1,0,0,0,0,63.6,1,1,0.018,0
64.37,13,0,4,7,0,3,0,0,11.0,2,2,0.349,0
165.03,10,0,1,4,1,1,0,0,12.6,1,1,20.544,0
50.11,10,0,0,0,0,0,0,0,43.2,1,2,4.067,0
69.82,17,0,4,1,0,0,0,0,4.7,1,1,1.652,0
85.42,3,1,3,3,2,1,1,1,600.1,5,3,4.783,1
34.43,12,0,3,1,0,0,0,0,13.1,1,1,0.687,0
43.41,14,0,6,1,0,0,0,1,78.4,2,1,0.491,0
4.25,17,0,6,2,0,0,0,0,79.7,3,1,0.637,0
32.77,17,0,1,1,0,0,0,0,20.5,3,1,0.313,0
11.33,9,0,0,1,0,1,0,0,6.3,1,1,0.745,0
56.16,9,0,2,2,0,1,0,1,52.4,2,1,0.925,0
63.73,14,0,3,1,0,1,0,0,9.0,1,5,1.673,0
9.61,14,0,2,2,0,0,0,0,11.3,2,3,0.868,0
26.46,15,0,3,1,0,1,0,0,36.7,1,2,0.438,0
19.51,15,0,1,1,0,0,0,0,47.8,1,3,0.831,0
45.76,10,0,6,6,0,0,0,0,70.2,2,1,0.824,0
46.79,20,0,2,2,0,0,0,0,47.5,1,1,1.167,0
29.64,14,0,3,3,0,1,0,0,77.8,1,1,0.643,0
21.09,9,0,3,4,0,2,0,0,28.3,1,3,0.010,0
10.00,10,0,9,2,0,3,0,1,14.6,3,4,0.902,0
24.75,17,0,3,1,0,0,0,0,80.8,1,3,0.783,0
9.19,19,0,1,3,0,1,0,1,237.9,1,2,0.801,0
20.71,16,0,2,1,0,0,0,0,107.0,1,5,0.547,0
54.18,10,0,1,1,0,0,0,0,40.4,1,4,0.320,0
16.80,19,0,1,1,0,0,0,0,3.0,2,1,0.744,0
364.34,19,0,2,2,0,1,1,0,26.2,1,2,14.510,0
16.47,13,0,1,1,0,0,0,0,116.8,1,1,0.734,0
26.94,11,0,2,1,0,0,0,0,56.2,2,1,0.463,0
95.19,22,0,5,4,0,0,1,1,499.3,1,9,2.212,0
190.33,18,0,4,1,0,0,0,0,42.0,1,1,1.315,0
29.92,18,0,5,2,1,1,0,0,67.1,4,1,0.965,1
15.35,18,0,2,2,0,0,1,0,17.4,3,1,0.386,0
10.02,20,0,1,2,0,0,0,0,14.9,1,1,0.844,0
45.92,11,0,2,2,0,0,0,0,18.7,1,1,0.367,0
6.62,21,0,1,1,0,1,0,0,142.3,1,1,0.421,0
51.44,14,0,3,3,0,2,0,0,16.3,1,2,5.462,0
17.78,13,0,2,2,0,0,0,0,18.3,2,2,0.241,0
9.60,20,0,1,1,0,0,0,0,0.2,1,1,1.021,0
40.14,15,0,2,2,0,0,0,0,13.1,1,3,0.749,0
28.85,21,0,3,1,0,1,0,0,41.3,1,1,1.164,0
32.43,13,0,0,1,0,0,0,0,3.8,3,3,0.213,0
72.43,20,0,4,6,0,1,0,0,174.2,2,1,0.105,0
